title,track_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Kick The Dust Up,4LaKcWRqoZKnN626xheqM2,Luke Bryan,0.596,0.858,1,-2.377,1,0.0493,0.18,0.0,0.321,0.819,172.108,audio_features,spotify:track:4LaKcWRqoZKnN626xheqM2,https://api.spotify.com/v1/tracks/4LaKcWRqoZKnN626xheqM2,https://api.spotify.com/v1/audio-analysis/4LaKcWRqoZKnN626xheqM2,192906,4
Crash And Burn,1FB3jc4S4iitvhWWhK88rc,Thomas Rhett,0.698,0.847,5,-3.764,0,0.0306,0.111,1.46e-06,0.137,0.807,130.001,audio_features,spotify:track:1FB3jc4S4iitvhWWhK88rc,https://api.spotify.com/v1/tracks/1FB3jc4S4iitvhWWhK88rc,https://api.spotify.com/v1/audio-analysis/1FB3jc4S4iitvhWWhK88rc,192719,4
Cruise,0i5el041vd6nxrGEU8QRxy,Florida Georgia Line,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,audio_features,spotify:track:0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/audio-analysis/0i5el041vd6nxrGEU8QRxy,208960,4
The Cave,3pLTOP0G0etiWUknFoRpsr,Mumford & Sons,0.576,0.486,4,-9.364,1,0.0406,0.0606,0.000143,0.093,0.337,141.951,audio_features,spotify:track:3pLTOP0G0etiWUknFoRpsr,https://api.spotify.com/v1/tracks/3pLTOP0G0etiWUknFoRpsr,https://api.spotify.com/v1/audio-analysis/3pLTOP0G0etiWUknFoRpsr,217987,4
I Will Wait,2JHBMVs8E7bJJBLkXpKgHn,Mumford & Sons,0.481,0.766,1,-5.208,1,0.0334,0.0103,0.0067,0.302,0.436,131.143,audio_features,spotify:track:2JHBMVs8E7bJJBLkXpKgHn,https://api.spotify.com/v1/tracks/2JHBMVs8E7bJJBLkXpKgHn,https://api.spotify.com/v1/audio-analysis/2JHBMVs8E7bJJBLkXpKgHn,276720,4
Take Your Time,6DEaND0SHv3sC11xobZLiy,Sam Hunt,0.558,0.719,11,-5.603,1,0.0419,0.101,0.0,0.212,0.483,158.031,audio_features,spotify:track:6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/tracks/6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/audio-analysis/6DEaND0SHv3sC11xobZLiy,243707,4
Day Drinking,1pxXqJZBrCREdC0s4Xs6Xz,Little Big Town,0.591,0.959,9,-2.515,1,0.057,0.103,0.0,0.779,0.86,163.883,audio_features,spotify:track:1pxXqJZBrCREdC0s4Xs6Xz,https://api.spotify.com/v1/tracks/1pxXqJZBrCREdC0s4Xs6Xz,https://api.spotify.com/v1/audio-analysis/1pxXqJZBrCREdC0s4Xs6Xz,178840,4
Girl Crush,11qh54D0PKkBwelpDxxiEU,Little Big Town,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,audio_features,spotify:track:11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/tracks/11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/audio-analysis/11qh54D0PKkBwelpDxxiEU,193320,3
Snapback,6FKunBVtC4ZUC9iEvtAIn0,Old Dominion,0.687,0.793,5,-3.577,1,0.0333,0.305,3.23e-06,0.1,0.673,100.991,audio_features,spotify:track:6FKunBVtC4ZUC9iEvtAIn0,https://api.spotify.com/v1/tracks/6FKunBVtC4ZUC9iEvtAIn0,https://api.spotify.com/v1/audio-analysis/6FKunBVtC4ZUC9iEvtAIn0,206507,4
Lose My Mind,1qC0pi9ZH47XDjvaNbg8ch,Brett Eldredge,0.68,0.755,6,-5.509,0,0.029,0.0206,0.0,0.21,0.824,101.048,audio_features,spotify:track:1qC0pi9ZH47XDjvaNbg8ch,https://api.spotify.com/v1/tracks/1qC0pi9ZH47XDjvaNbg8ch,https://api.spotify.com/v1/audio-analysis/1qC0pi9ZH47XDjvaNbg8ch,155440,4
Play It Again,03fT3OHB9KyMtGMt2zwqCT,Luke Bryan,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,audio_features,spotify:track:03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT,226867,4
That's My Kind Of Night,5HGibWoxnkYSkl6mHmAlOE,Luke Bryan,0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,audio_features,spotify:track:5HGibWoxnkYSkl6mHmAlOE,https://api.spotify.com/v1/tracks/5HGibWoxnkYSkl6mHmAlOE,https://api.spotify.com/v1/audio-analysis/5HGibWoxnkYSkl6mHmAlOE,190187,4
Somewhere On A Beach,6zDaopn1sO8WUDTNdV8EdT,Dierks Bentley,0.57,0.642,7,-6.396,1,0.0277,0.000699,0.0,0.0801,0.457,144.019,audio_features,spotify:track:6zDaopn1sO8WUDTNdV8EdT,https://api.spotify.com/v1/tracks/6zDaopn1sO8WUDTNdV8EdT,https://api.spotify.com/v1/audio-analysis/6zDaopn1sO8WUDTNdV8EdT,199893,4
Backroad Song,2sVkHiBqHxyj8rFGu42zv2,Granger Smith,0.484,0.841,11,-5.761,1,0.0446,0.0453,0.0137,0.353,0.716,174.019,audio_features,spotify:track:2sVkHiBqHxyj8rFGu42zv2,https://api.spotify.com/v1/tracks/2sVkHiBqHxyj8rFGu42zv2,https://api.spotify.com/v1/audio-analysis/2sVkHiBqHxyj8rFGu42zv2,236625,4
American Country Love Song,3eGH1kOyOjq19khdfYg5R7,Jake Owen,0.539,0.892,8,-4.59,1,0.0411,0.0725,0.0,0.0997,0.34,104.009,audio_features,spotify:track:3eGH1kOyOjq19khdfYg5R7,https://api.spotify.com/v1/tracks/3eGH1kOyOjq19khdfYg5R7,https://api.spotify.com/v1/audio-analysis/3eGH1kOyOjq19khdfYg5R7,200640,4
Wasted Time,5BIwPoVMFnFIr8RzJunRvf,Keith Urban,0.622,0.827,7,-5.736,1,0.0478,0.0717,0.0,0.0764,0.299,100.002,audio_features,spotify:track:5BIwPoVMFnFIr8RzJunRvf,https://api.spotify.com/v1/tracks/5BIwPoVMFnFIr8RzJunRvf,https://api.spotify.com/v1/audio-analysis/5BIwPoVMFnFIr8RzJunRvf,233813,4
Wasted Time,13wYXGimJ5fANFu0y2pqG1,Keith Urban,0.625,0.825,7,-5.758,1,0.0481,0.0621,0.0,0.0753,0.341,100.004,audio_features,spotify:track:13wYXGimJ5fANFu0y2pqG1,https://api.spotify.com/v1/tracks/13wYXGimJ5fANFu0y2pqG1,https://api.spotify.com/v1/audio-analysis/13wYXGimJ5fANFu0y2pqG1,233827,4
Somebody Else Will,3n2A6l4UayVe3GGKCvfQWV,Justin Moore,0.488,0.744,2,-4.284,0,0.131,0.0353,0.0,0.0952,0.59,180.007,audio_features,spotify:track:3n2A6l4UayVe3GGKCvfQWV,https://api.spotify.com/v1/tracks/3n2A6l4UayVe3GGKCvfQWV,https://api.spotify.com/v1/audio-analysis/3n2A6l4UayVe3GGKCvfQWV,165173,4
Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,Jon Pardi,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,audio_features,spotify:track:0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD,https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD,205200,4
They Don't Know,3bzE57iNavJJxXL9GgBiOK,Jason Aldean,0.434,0.921,10,-2.248,0,0.0688,0.0207,0.00209,0.116,0.426,171.945,audio_features,spotify:track:3bzE57iNavJJxXL9GgBiOK,https://api.spotify.com/v1/tracks/3bzE57iNavJJxXL9GgBiOK,https://api.spotify.com/v1/audio-analysis/3bzE57iNavJJxXL9GgBiOK,195307,4
Big Green Tractor,4KAzYqfcijCSZa2P3etHoM,Jason Aldean,0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.579,137.071,audio_features,spotify:track:4KAzYqfcijCSZa2P3etHoM,https://api.spotify.com/v1/tracks/4KAzYqfcijCSZa2P3etHoM,https://api.spotify.com/v1/audio-analysis/4KAzYqfcijCSZa2P3etHoM,204200,4
Craving You,2d48mamATjby7wgPjdrSOQ,Thomas Rhett,0.613,0.839,9,-3.799,0,0.0352,0.000854,0.0,0.341,0.526,104.975,audio_features,spotify:track:2d48mamATjby7wgPjdrSOQ,https://api.spotify.com/v1/tracks/2d48mamATjby7wgPjdrSOQ,https://api.spotify.com/v1/audio-analysis/2d48mamATjby7wgPjdrSOQ,223627,4
Star Of The Show,63OQWdXMq0Pe6pRpWY5gO0,Thomas Rhett,0.695,0.641,7,-5.807,1,0.0261,0.142,0.0,0.131,0.664,101.974,audio_features,spotify:track:63OQWdXMq0Pe6pRpWY5gO0,https://api.spotify.com/v1/tracks/63OQWdXMq0Pe6pRpWY5gO0,https://api.spotify.com/v1/audio-analysis/63OQWdXMq0Pe6pRpWY5gO0,181200,4
For Her,6VB64hpnpRNqukYsIX76uo,Chris Lane,0.491,0.904,6,-4.324,1,0.0344,0.0985,0.0,0.183,0.588,150.007,audio_features,spotify:track:6VB64hpnpRNqukYsIX76uo,https://api.spotify.com/v1/tracks/6VB64hpnpRNqukYsIX76uo,https://api.spotify.com/v1/audio-analysis/6VB64hpnpRNqukYsIX76uo,211227,4
Buy Me a Boat,2WKLUgklz0VDX5bKTZ3eYD,Chris Janson,0.574,0.745,2,-6.663,1,0.0507,0.319,0.0,0.11,0.693,154.042,audio_features,spotify:track:2WKLUgklz0VDX5bKTZ3eYD,https://api.spotify.com/v1/tracks/2WKLUgklz0VDX5bKTZ3eYD,https://api.spotify.com/v1/audio-analysis/2WKLUgklz0VDX5bKTZ3eYD,179078,4
Record Year,5fSPbm5lcwtqwXkeQQswW8,Eric Church,0.589,0.641,5,-8.12,1,0.0838,0.205,0.0,0.0864,0.57,160.031,audio_features,spotify:track:5fSPbm5lcwtqwXkeQQswW8,https://api.spotify.com/v1/tracks/5fSPbm5lcwtqwXkeQQswW8,https://api.spotify.com/v1/audio-analysis/5fSPbm5lcwtqwXkeQQswW8,179347,4
Cop Car,3e8DeRFN3CPsaCJcsLkeS3,Keith Urban,0.538,0.664,1,-6.318,1,0.0392,0.193,0.0,0.0918,0.366,154.033,audio_features,spotify:track:3e8DeRFN3CPsaCJcsLkeS3,https://api.spotify.com/v1/tracks/3e8DeRFN3CPsaCJcsLkeS3,https://api.spotify.com/v1/audio-analysis/3e8DeRFN3CPsaCJcsLkeS3,256747,4
Drinking Class,4QAXLB2Hkx3n7LbOFxD34h,Lee Brice,0.663,0.53,1,-9.763,1,0.0301,0.0886,0.0,0.154,0.269,109.003,audio_features,spotify:track:4QAXLB2Hkx3n7LbOFxD34h,https://api.spotify.com/v1/tracks/4QAXLB2Hkx3n7LbOFxD34h,https://api.spotify.com/v1/audio-analysis/4QAXLB2Hkx3n7LbOFxD34h,207347,4
"Huntin', Fishin' And Lovin' Every Day",6nUKELHbV6Tdj5OuQbksKH,Luke Bryan,0.539,0.828,0,-4.302,1,0.0378,0.129,1.08e-05,0.12,0.378,76.955,audio_features,spotify:track:6nUKELHbV6Tdj5OuQbksKH,https://api.spotify.com/v1/tracks/6nUKELHbV6Tdj5OuQbksKH,https://api.spotify.com/v1/audio-analysis/6nUKELHbV6Tdj5OuQbksKH,278640,4
Kick The Dust Up,7wVeIwUxcUddK44joZ3bPO,Luke Bryan,0.597,0.86,1,-2.315,1,0.0461,0.196,0.0,0.0873,0.818,172.067,audio_features,spotify:track:7wVeIwUxcUddK44joZ3bPO,https://api.spotify.com/v1/tracks/7wVeIwUxcUddK44joZ3bPO,https://api.spotify.com/v1/audio-analysis/7wVeIwUxcUddK44joZ3bPO,190600,4
Somewhere On A Beach,5CG9Ps5ynNjpKJHmwc95pa,Dierks Bentley,0.569,0.638,7,-6.557,1,0.0291,0.000547,0.0,0.0848,0.438,144.042,audio_features,spotify:track:5CG9Ps5ynNjpKJHmwc95pa,https://api.spotify.com/v1/tracks/5CG9Ps5ynNjpKJHmwc95pa,https://api.spotify.com/v1/audio-analysis/5CG9Ps5ynNjpKJHmwc95pa,197120,4
