danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature
0.539,0.779,4,-4.139,1,0.0432,0.247,2.71e-06,0.386,0.705,164.029,audio_features,0a3KWFyJEaOBOGKjTGOoN8,spotify:track:0a3KWFyJEaOBOGKjTGOoN8,https://api.spotify.com/v1/tracks/0a3KWFyJEaOBOGKjTGOoN8,https://api.spotify.com/v1/audio-analysis/0a3KWFyJEaOBOGKjTGOoN8,189507,4
0.488,0.833,11,-6.571,1,0.0437,0.0352,0.0172,0.34,0.751,174.006,audio_features,5ix3mPn7JFsKTVoidu6dBw,spotify:track:5ix3mPn7JFsKTVoidu6dBw,https://api.spotify.com/v1/tracks/5ix3mPn7JFsKTVoidu6dBw,https://api.spotify.com/v1/audio-analysis/5ix3mPn7JFsKTVoidu6dBw,236787,4
0.579,0.776,8,-5.365,1,0.173,0.0749,0.0,0.239,0.434,136.044,audio_features,7aftSOGSOpSoIlVAQVBb71,spotify:track:7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71,229880,4
0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085,audio_features,2TR7A4ulH9R1PNwMyd8o8U,spotify:track:2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/tracks/2TR7A4ulH9R1PNwMyd8o8U,https://api.spotify.com/v1/audio-analysis/2TR7A4ulH9R1PNwMyd8o8U,220907,4
0.612,0.841,9,-3.795,0,0.0353,0.000907,0.0,0.37,0.499,104.986,audio_features,6zLdXcmvIxnAXpz9sXFnIE,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/tracks/6zLdXcmvIxnAXpz9sXFnIE,https://api.spotify.com/v1/audio-analysis/6zLdXcmvIxnAXpz9sXFnIE,227373,4
0.596,0.858,1,-2.377,1,0.0493,0.18,0.0,0.321,0.819,172.108,audio_features,4LaKcWRqoZKnN626xheqM2,spotify:track:4LaKcWRqoZKnN626xheqM2,https://api.spotify.com/v1/tracks/4LaKcWRqoZKnN626xheqM2,https://api.spotify.com/v1/audio-analysis/4LaKcWRqoZKnN626xheqM2,192906,4
0.698,0.847,5,-3.764,0,0.0306,0.111,1.46e-06,0.137,0.807,130.001,audio_features,1FB3jc4S4iitvhWWhK88rc,spotify:track:1FB3jc4S4iitvhWWhK88rc,https://api.spotify.com/v1/tracks/1FB3jc4S4iitvhWWhK88rc,https://api.spotify.com/v1/audio-analysis/1FB3jc4S4iitvhWWhK88rc,192719,4
0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,audio_features,0i5el041vd6nxrGEU8QRxy,spotify:track:0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/tracks/0i5el041vd6nxrGEU8QRxy,https://api.spotify.com/v1/audio-analysis/0i5el041vd6nxrGEU8QRxy,208960,4
0.576,0.486,4,-9.364,1,0.0406,0.0606,0.000143,0.093,0.337,141.951,audio_features,3pLTOP0G0etiWUknFoRpsr,spotify:track:3pLTOP0G0etiWUknFoRpsr,https://api.spotify.com/v1/tracks/3pLTOP0G0etiWUknFoRpsr,https://api.spotify.com/v1/audio-analysis/3pLTOP0G0etiWUknFoRpsr,217987,4
0.481,0.766,1,-5.208,1,0.0334,0.0103,0.0067,0.302,0.436,131.143,audio_features,2JHBMVs8E7bJJBLkXpKgHn,spotify:track:2JHBMVs8E7bJJBLkXpKgHn,https://api.spotify.com/v1/tracks/2JHBMVs8E7bJJBLkXpKgHn,https://api.spotify.com/v1/audio-analysis/2JHBMVs8E7bJJBLkXpKgHn,276720,4
0.558,0.719,11,-5.603,1,0.0419,0.101,0.0,0.212,0.483,158.031,audio_features,6DEaND0SHv3sC11xobZLiy,spotify:track:6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/tracks/6DEaND0SHv3sC11xobZLiy,https://api.spotify.com/v1/audio-analysis/6DEaND0SHv3sC11xobZLiy,243707,4
0.591,0.959,9,-2.515,1,0.057,0.103,0.0,0.779,0.86,163.883,audio_features,1pxXqJZBrCREdC0s4Xs6Xz,spotify:track:1pxXqJZBrCREdC0s4Xs6Xz,https://api.spotify.com/v1/tracks/1pxXqJZBrCREdC0s4Xs6Xz,https://api.spotify.com/v1/audio-analysis/1pxXqJZBrCREdC0s4Xs6Xz,178840,4
0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,audio_features,11qh54D0PKkBwelpDxxiEU,spotify:track:11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/tracks/11qh54D0PKkBwelpDxxiEU,https://api.spotify.com/v1/audio-analysis/11qh54D0PKkBwelpDxxiEU,193320,3
0.687,0.793,5,-3.577,1,0.0333,0.305,3.23e-06,0.1,0.673,100.991,audio_features,6FKunBVtC4ZUC9iEvtAIn0,spotify:track:6FKunBVtC4ZUC9iEvtAIn0,https://api.spotify.com/v1/tracks/6FKunBVtC4ZUC9iEvtAIn0,https://api.spotify.com/v1/audio-analysis/6FKunBVtC4ZUC9iEvtAIn0,206507,4
0.68,0.755,6,-5.509,0,0.029,0.0206,0.0,0.21,0.824,101.048,audio_features,1qC0pi9ZH47XDjvaNbg8ch,spotify:track:1qC0pi9ZH47XDjvaNbg8ch,https://api.spotify.com/v1/tracks/1qC0pi9ZH47XDjvaNbg8ch,https://api.spotify.com/v1/audio-analysis/1qC0pi9ZH47XDjvaNbg8ch,155440,4
0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,audio_features,03fT3OHB9KyMtGMt2zwqCT,spotify:track:03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT,https://api.spotify.com/v1/audio-analysis/03fT3OHB9KyMtGMt2zwqCT,226867,4
0.661,0.751,7,-2.909,1,0.0481,0.0571,0.0,0.105,0.875,109.995,audio_features,5HGibWoxnkYSkl6mHmAlOE,spotify:track:5HGibWoxnkYSkl6mHmAlOE,https://api.spotify.com/v1/tracks/5HGibWoxnkYSkl6mHmAlOE,https://api.spotify.com/v1/audio-analysis/5HGibWoxnkYSkl6mHmAlOE,190187,4
0.57,0.642,7,-6.396,1,0.0277,0.000699,0.0,0.0801,0.457,144.019,audio_features,6zDaopn1sO8WUDTNdV8EdT,spotify:track:6zDaopn1sO8WUDTNdV8EdT,https://api.spotify.com/v1/tracks/6zDaopn1sO8WUDTNdV8EdT,https://api.spotify.com/v1/audio-analysis/6zDaopn1sO8WUDTNdV8EdT,199893,4
